*********************************************************************
************ Scheduling algorithm: Round Robin ***********************
************ ( No. of Task = 50  Quantum = 4 ) **********************
*********************************************************************
 pid arrival CPU-burst   finish  waiting     turn  response Context
   1       0         8     11.5      3.5     11.5       0.0       1
   2       1         3      7.5      3.5      6.5       3.5       0
   3       5        26    449.5    418.5    444.5       6.5       6
   4      11         3     19.0      5.0      8.0       5.0       0
   5      15        13    148.5    120.5    133.5       4.0       3
   6      17        20    361.0    324.0    344.0      11.0       4
   7      22        16    245.0    207.0    223.0      10.5       3
   8      25        23    550.5    502.5    525.5      16.5       5
   9      28        37    743.0    678.0    715.0      22.5       9
  10      33        45    756.0    678.0    723.0      26.5      11
  11      36         9    237.0    192.0    201.0      28.0       2
  12      39        11    261.0    211.0    222.0      34.0       2
  13      46         3     89.5     40.5     43.5      40.5       0
  14      51         6    177.5    120.5    126.5      43.0       1
  15      53        15    470.0    402.0    417.0      45.5       3
  16      57         3    110.5     50.5     53.5      50.5       0
  17      62        10    372.0    300.0    310.0      53.0       2
  18      67        23    682.0    592.0    615.0      57.0       5
  19      74         8    249.0    167.0    175.0      63.5       1
  20      79         1    147.5     67.5     68.5      67.5       0
  21      84        16    547.5    447.5    463.5      64.5       3
  22      89        15    558.0    454.0    469.0      68.5       3
  23      93         8    296.5    195.5    203.5      69.0       1
  24      96        22    694.5    576.5    598.5      75.0       5
  25     102        16    572.0    454.0    470.0      75.5       3
  26     108        14    583.0    461.0    475.0      83.0       3
  27     110        23    704.0    571.0    594.0      85.5       5
  28     116        24    712.5    572.5    596.5      88.5       5
  29     121        14    608.0    473.0    487.0      92.5       3
  30     127         6    398.5    265.5    271.5      95.5       1
  31     131        19    685.0    535.0    554.0     100.5       4
  32     136         4    241.0    101.0    105.0     101.0       0
  33     142         9    537.0    386.0    395.0     107.0       2
  34     146        16    630.0    468.0    484.0     107.5       3
  35     151        10    543.5    382.5    392.5     110.0       2
  36     156         8    429.5    265.5    273.5     114.0       1
  37     158        24    725.5    543.5    567.5     121.0       5
  38     164         9    559.0    386.0    395.0     124.0       2
  39     171        19    692.5    502.5    521.5     130.0       4
  40     175         7    457.0    275.0    282.0     130.5       1
  41     180         5    462.5    277.5    282.5     134.5       1
  42     185         2    325.5    138.5    140.5     138.5       0
  43     189        18    696.5    489.5    507.5     141.0       4
  44     197        10    585.0    378.0    388.0     146.5       2
  45     201        23    733.0    509.0    532.0     151.5       5
  46     206        11    597.0    380.0    391.0     155.0       2
  47     214        16    670.0    440.0    456.0     158.0       3
  48     220         7    518.0    291.0    298.0     161.0       1
  49     224        27    750.5    499.5    526.5     166.0       6
  50     226         2    396.5    168.5    170.5     168.5       0
Average CPU burst time = 13.5 ms,   Average waiting time = 339.0 ms
Average turn around time = 353.0 ms,  Average response time = 81.0 ms
Total No. of Context Switching Performed = 138
