*********************************************************************
************ Scheduling algorithm: SRTF ******************************
*********************************************************************
 pid arrival CPU-burst   finish  waiting     turn  response Context
   1       0         1      1.0      0.0      1.0       0.0       0
   2       2         3      5.0      0.0      3.0       0.0       0
   3       7         6     13.0      0.0      6.0       0.0       0
   4      12        18     34.5      4.5     22.5       1.0       1
   5      20         3     23.5      0.5      3.5       0.5       0
   6      25        29    912.0    858.0    887.0     858.0       0
   7      30        20     75.0     25.0     45.0       4.5       3
   8      36         4     40.5      0.5      4.5       0.5       0
   9      41        14     55.5      0.5     14.5       0.5       0
  10      47        35   1257.0   1175.0   1210.0    1175.0       0
  11      51        18    105.0     36.0     54.0      24.0       2
  12      55        30   1000.0    915.0    945.0     915.0       0
  13      59        49   1937.0   1829.0   1878.0    1829.0       0
  14      63         1     64.5      0.5      1.5       0.5       0
  15      70        32   1123.0   1021.0   1053.0    1021.0       0
  16      77         2     79.5      0.5      2.5       0.5       0
  17      81         6     87.5      0.5      6.5       0.5       0
  18      87         3     90.5      0.5      3.5       0.5       0
  19      91        23    573.0    459.0    482.0     459.0       0
  20      97        47   1745.0   1601.0   1648.0    1601.0       0
  21     104        22    160.0     34.0     56.0       1.0       2
  22     109        14    123.5      0.5     14.5       0.5       0
  23     112        39   1444.0   1293.0   1332.0    1293.0       0
  24     115        38   1367.0   1214.0   1252.0    1214.0       0
  25     120         6    129.5      3.5      9.5       3.5       0
  26     125        11    140.5      4.5     15.5       4.5       0
  27     129        27    799.0    643.0    670.0     643.0       0
  28     136        19    213.0     58.0     77.0      55.5       1
  29     140        29    941.0    772.0    801.0     772.0       0
  30     143        28    827.0    656.0    684.0     656.0       0
  31     146        40   1484.0   1298.0   1338.0    1298.0       0
  32     150        15    178.5     13.5     28.5      10.0       1
  33     152         1    153.5      0.5      1.5       0.5       0
  34     160        29    970.0    781.0    810.0     781.0       0
  35     163        36   1293.0   1094.0   1130.0    1094.0       0
  36     171         3    174.5      0.5      3.5       0.5       0
  37     176        13    191.5      2.5     15.5       2.5       0
  38     183        19    247.0     45.0     64.0      32.0       2
  39     189        31   1091.0    871.0    902.0     871.0       0
  40     195         2    197.5      0.5      2.5       0.5       0
  41     200        46   1698.0   1452.0   1498.0    1452.0       0
  42     203        22    550.0    325.0    347.0     325.0       0
  43     209        40   1524.0   1275.0   1315.0    1275.0       0
  44     212         2    215.0      1.0      3.0       1.0       0
  45     216         5    221.5      0.5      5.5       0.5       0
  46     220        21    329.5     88.5    109.5      63.5       4
  47     223        77   2063.0   1763.0   1840.0    1763.0       0
  48     229         7    236.5      0.5      7.5       0.5       0
  49     232        11    271.5     28.5     39.5      24.0       1
  50     238        36   1329.0   1055.0   1091.0    1055.0       0
  51     243         9    256.0      4.0     13.0       4.0       0
  52     251        12    283.5     20.5     32.5      20.5       0
  53     254        23    596.0    319.0    342.0     319.0       0
  54     261         4    265.5      0.5      4.5       0.5       0
  55     268        26    694.0    400.0    426.0     400.0       0
  56     273        38   1405.0   1094.0   1132.0    1094.0       0
  57     277        21    459.0    161.0    182.0      52.5       3
  58     284         7    291.5      0.5      7.5       0.5       0
  59     290        33   1188.0    865.0    898.0     865.0       0
  60     295        13    308.5      0.5     13.5       0.5       0
  61     300        26    720.0    394.0    420.0     394.0       0
  62     304        43   1608.0   1261.0   1304.0    1261.0       0
  63     309        26    746.0    411.0    437.0     411.0       0
  64     315         1    316.5      0.5      1.5       0.5       0
  65     322         2    324.5      0.5      2.5       0.5       0
  66     327        41   1565.0   1197.0   1238.0    1197.0       0
  67     330        18    354.0      6.0     24.0       0.5       1
  68     338         5    343.5      0.5      5.5       0.5       0
  69     342        34   1222.0    846.0    880.0     846.0       0
  70     346        44   1652.0   1262.0   1306.0    1262.0       0
  71     352         8    362.0      2.0     10.0       2.0       0
  72     356        19    395.0     20.0     39.0       6.0       2
  73     361        23    619.0    235.0    258.0     235.0       0
  74     365         3    368.5      0.5      3.5       0.5       0
  75     370        10    380.5      0.5     10.5       0.5       0
  76     374        21    528.0    133.0    154.0      96.0       1
  77     376        30   1030.0    624.0    654.0     624.0       0
  78     381        26    772.0    365.0    391.0     365.0       0
  79     386        30   1060.0    644.0    674.0     644.0       0
  80     389        28    855.0    438.0    466.0     438.0       0
  81     393         4    399.0      2.0      6.0       2.0       0
  82     398        16    415.0      1.0     17.0       1.0       0
  83     403        48   1840.0   1389.0   1437.0    1389.0       0
  84     408        24    643.0    211.0    235.0     211.0       0
  85     411         5    420.0      4.0      9.0       4.0       0
  86     416        12    434.5      6.5     18.5       4.0       1
  87     421        49   1986.0   1516.0   1565.0    1516.0       0
  88     425         2    427.5      0.5      2.5       0.5       0
  89     429        28    883.0    426.0    454.0     426.0       0
  90     434        32   1155.0    689.0    721.0     689.0       0
  91     439         1    440.5      0.5      1.5       0.5       0
  92     447         2    449.5      0.5      2.5       0.5       0
  93     450        25    668.0    193.0    218.0     193.0       0
  94     455        47   1792.0   1290.0   1337.0    1290.0       0
  95     459         7    466.0      0.0      7.0       0.0       0
  96     463         4    470.0      3.0      7.0       3.0       0
  97     466        48   1888.0   1374.0   1422.0    1374.0       0
  98     474        16    511.0     21.0     37.0       0.5       1
  99     477        11    488.5      0.5     11.5       0.5       0
 100     482         9    497.5      6.5     15.5       6.5       0
Average CPU burst time = 20.0 ms,   Average waiting time = 405.0 ms
Average turn around time = 425.5 ms,  Average response time = 402.0 ms
Total No. of Context Switching Performed = 26
